20181930-20:19:19:913135716 $GNVTG,,,,,,,,,N*2E
20181930-20:19:19:917880404 $GNGGA,034141.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:20:012587487 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:20:018035612 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:20:116404102 $GPGSV,2,1,06,02,,,25,04,,,37,05,,,34,12,,,24*7E
20181930-20:19:20:121554414 $GPGSV,2,2,06,20,,,21,29,,,42*73
20181930-20:19:20:395228581 $GLGSV,1,1,04,66,,,36,,,,31,,,,39,,,,34*6B
20181930-20:19:20:399865716 $GNGLL,,,,,034141.00,V,N*57
20181930-20:19:20:404879102 $GNZDA,034141.00,,,,00,00*7B
20181930-20:19:20:914484987 $GNRMC,034141.00,V,,,,,,,310118,,,N*6A
20181930-20:19:20:919515143 $GNVTG,,,,,,,,,N*2E
20181930-20:19:21:018159570 $GNGGA,034141.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:21:023288424 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:21:028547122 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:21:122746758 $GPGSV,2,1,06,02,,,25,04,,,36,05,,,35,12,,,22*78
20181930-20:19:21:127723268 $GPGSV,2,2,06,20,,,24,29,,,42*76
20181930-20:19:21:425533268 $GLGSV,1,1,04,66,,,38,82,,,33,83,,,41,,,,31*6C
20181930-20:19:21:430404049 $GNGLL,,,,,034141.00,V,N*57
20181930-20:19:21:435451080 $GNZDA,034141.00,31,01,2018,00,00*73
20181930-20:19:21:921083997 $GNRMC,034142.00,V,,,,,,,310118,,,N*69
20181930-20:19:21:925949049 $GNVTG,,,,,,,,,N*2E
20181930-20:19:22:025517018 $GNGGA,034142.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:22:030748007 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:22:035826393 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
