20181330-20:13:30:432231925 $GLGSV,1,1,00*65
20181330-20:13:30:437058019 $GNGLL,,,,,,V,N*7A
20181330-20:13:30:441934425 $GNZDA,,,,,00,00*56
20181330-20:13:31:071190623 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:31:075982915 $GNVTG,,,,,,,,,N*2E
20181330-20:13:31:080975831 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:31:175197810 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:31:180092915 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:31:185136925 $GPGSV,1,1,00*79
20181330-20:13:31:432232758 $GLGSV,1,1,00*65
20181330-20:13:31:436899946 $GNGLL,,,,,,V,N*7A
20181330-20:13:31:441677394 $GNZDA,,,,,00,00*56
20181330-20:13:32:071978123 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:32:076863539 $GNVTG,,,,,,,,,N*2E
20181330-20:13:32:082065102 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:32:175746768 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:32:181158956 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:32:185992758 $GPGSV,1,1,00*79
20181330-20:13:32:432258695 $GLGSV,1,1,00*65
20181330-20:13:32:437396716 $GNGLL,,,,,,V,N*7A
20181330-20:13:32:442247862 $GNZDA,,,,,00,00*56
20181330-20:13:33:070844112 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:33:075895622 $GNVTG,,,,,,,,,N*2E
20181330-20:13:33:080907706 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:33:176213851 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:33:181118122 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:33:185867133 $GPGSV,1,1,00*79
