20181930-20:19:06:674577076 9
20181930-20:19:18:629802488 $GNGGA,042709.00,,,,,0,00,99.99,,,,,,*70
20181930-20:19:18:634755509 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:639501134 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:734036342 $GPGSV,1,1,04,02,,,29,05,,,20,26,,,12,29,,,29*74
20181930-20:19:18:738856186 $GLGSV,1,1,01,,,,39*6E
20181930-20:19:18:743671238 $GNGLL,,,,,042709.00,V,N*5C
20181930-20:19:18:974697488 $GNZDA,042709.00,31,01,2018,00,00*78
20181930-20:19:19:528032644 $GNRMC,042710.00,V,,,,,,,310118,,,N*69
20181930-20:19:19:532948685 $GNVTG,,,,,,,,,N*2E
20181930-20:19:19:631904154 $GNGGA,042710.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:19:636730404 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:641719935 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:736042019 $GPGSV,1,1,04,02,,,27,05,,,30,26,,,19,29,,,36*7E
20181930-20:19:19:740976394 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:19:745698737 $GNGLL,,,,,042710.00,V,N*54
20181930-20:19:19:974668321 $GNZDA,042710.00,31,01,2018,00,00*70
20181930-20:19:20:527522279 $GNRMC,042711.00,V,,,,,,,310118,,,N*68
20181930-20:19:20:532489050 $GNVTG,,,,,,,,,N*2E
20181930-20:19:20:631508945 $GNGGA,042711.00,,,,,0,00,99.99,,,,,,*79
20181930-20:19:20:636375977 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:20:641210508 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:20:735518060 $GPGSV,1,1,04,02,,,25,05,,,30,26,,,18,29,,,34*7F
20181930-20:19:20:740095768 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:20:744902695 $GNGLL,,,,,042711.00,V,N*55
20181930-20:19:20:974699883 $GNZDA,042711.00,31,01,2018,00,00*71
20181930-20:19:21:528278893 $GNRMC,042712.00,V,,,,,,,310118,,,N*6B
20181930-20:19:21:533191497 $GNVTG,,,,,,,,,N*2E
20181930-20:19:21:632436497 $GNGGA,042712.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:21:637311080 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:21:642116445 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:21:736594257 $GPGSV,1,1,04,02,,,24,05,,,31,26,,,29,29,,,34*7D
20181930-20:19:21:741331810 $GLGSV,1,1,01,82,,,40*6A
20181930-20:19:21:746085247 $GNGLL,,,,,042712.00,V,N*56
20181930-20:19:21:974583059 $GNZDA,042712.00,31,01,2018,00,00*72
20181930-20:19:22:538074413 $GNRMC,042713.00,V,,,,,,,310118,,,N*6A
20181930-20:19:22:542976497 $GNVTG,,,,,,,,,N*2E
20181930-20:19:22:642017799 $GNGGA,042713.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:22:646848163 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:22:652132851 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:22:746135663 $GPGSV,1,1,04,02,,,24,05,,,32,26,,,28,29,,,31*7A
20181930-20:19:22:751003736 $GLGSV,1,1,01,82,,,37*6A
20181930-20:19:22:755632434 $GNGLL,,,,,042713.00,V,N*57
20181930-20:19:22:984732278 $GNZDA,042713.00,31,01,2018,00,00*73
20181930-20:19:23:521914778 $GNRMC,042714.00,V,,,,,,,310118,,,N*6D
20181930-20:19:23:526691496 $GNVTG,,,,,,,,,N*2E
20181930-20:19:23:625789100 $GNGGA,042714.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:23:630809257 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:23:635522746 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:23:729994257 $GPGSV,1,1,04,02,,,24,05,,,35,26,,,30,29,,,35*70
20181930-20:19:23:734907590 $GLGSV,1,1,01,82,,,41*6B
20181930-20:19:23:739530663 $GNGLL,,,,,042714.00,V,N*50
20181930-20:19:23:974659465 $GNZDA,042714.00,31,01,2018,00,00*74
20181930-20:19:24:520375402 $GNRMC,042715.00,V,,,,,,,310118,,,N*6C
20181930-20:19:24:525320715 $GNVTG,,,,,,,,,N*2E
20181930-20:19:24:624233163 $GNGGA,042715.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:24:629173892 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:24:634038683 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:24:728358319 $GPGSV,1,1,04,02,,,27,05,,,32,26,,,30,29,,,37*76
20181930-20:19:24:733087277 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:24:737694360 $GNGLL,,,,,042715.00,V,N*51
20181930-20:19:24:974683423 $GNZDA,042715.00,31,01,2018,00,00*75
20181930-20:19:25:527725141 $GNRMC,042716.00,V,,,,,,,310118,,,N*6F
20181930-20:19:25:532704100 $GNVTG,,,,,,,,,N*2E
20181930-20:19:25:631701027 $GNGGA,042716.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:25:636608996 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:25:641849621 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:25:736060298 $GPGSV,1,1,04,02,,,18,05,,,26,26,,,28,29,,,38*79
20181930-20:19:25:741180246 $GLGSV,1,1,01,82,,,43*69
20181930-20:19:25:752856339 $GNGLL,,,,,042716.00,V,N*52
20181930-20:19:25:974717798 $GNZDA,042716.00,31,01,2018,00,00*76
20181930-20:19:26:538770506 $GNRMC,042717.00,V,,,,,,,310118,,,N*6E
20181930-20:19:26:543479516 $GNVTG,,,,,,,,,N*2E
20181930-20:19:26:643193943 $GNGGA,042717.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:26:648709568 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:26:654830193 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:26:746932381 $GPGSV,1,1,04,02,,,17,05,,,29,26,,,18,29,,,35*77
20181930-20:19:26:751750974 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:26:756512537 $GNGLL,,,,,042717.00,V,N*53
20181930-20:19:26:984634360 $GNZDA,042717.00,31,01,2018,00,00*77
20181930-20:19:27:515924047 $GNRMC,042718.00,V,,,,,,,310118,,,N*61
20181930-20:19:27:520865297 $GNVTG,,,,,,,,,N*2E
20181930-20:19:27:619976964 $GNGGA,042718.00,,,,,0,00,99.99,,,,,,*70
20181930-20:19:27:624924464 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:27:630792589 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:27:724149411 $GPGSV,1,1,04,02,,,18,05,,,33,26,,,18,29,,,30*76
20181930-20:19:27:728989464 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:27:733745401 $GNGLL,,,,,042718.00,V,N*5C
20181930-20:19:27:964593266 $GNZDA,042718.00,31,01,2018,00,00*78
20181930-20:19:28:529739724 $GNRMC,042719.00,V,,,,,,,310118,,,N*60
20181930-20:19:28:534633630 $GNVTG,,,,,,,,,N*2E
20181930-20:19:28:634389151 $GNGGA,042719.00,,,,,0,00,99.99,,,,,,*71
20181930-20:19:28:639927224 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:28:645493109 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:28:737785765 $GPGSV,1,1,04,02,,,20,05,,,28,26,,,18,29,,,31*76
20181930-20:19:28:742750557 $GLGSV,1,1,01,82,,,40*6A
20181930-20:19:28:747518057 $GNGLL,,,,,042719.00,V,N*5D
20181930-20:19:28:984722119 $GNZDA,042719.00,31,01,2018,00,00*79
20181930-20:19:29:529456077 $GNRMC,042720.00,V,,,,,,,310118,,,N*6A
20181930-20:19:29:534341911 $GNVTG,,,,,,,,,N*2E
20181930-20:19:29:634448109 $GNGGA,042720.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:29:640345504 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:29:645695036 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:29:737617327 $GPGSV,1,1,04,02,,,22,05,,,12,26,,,17,29,,,30*73
20181930-20:19:29:742525661 $GLGSV,1,1,01,82,,,38*65
20181930-20:19:29:747295140 $GNGLL,,,,,042720.00,V,N*57
20181930-20:19:29:984671858 $GNZDA,042720.00,31,01,2018,00,00*73
20181930-20:19:30:533047744 $GNRMC,042721.00,V,,,,,,,310118,,,N*6B
20181930-20:19:30:537767327 $GNVTG,,,,,,,,,N*2E
20181930-20:19:30:636829306 $GNGGA,042721.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:30:642168629 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:30:647086962 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:30:741014202 $GPGSV,1,1,04,02,,,30,05,,,30,26,,,18,29,,,31*7E
20181930-20:19:30:745853577 $GLGSV,1,1,01,82,,,38*65
20181930-20:19:30:750641233 $GNGLL,,,,,042721.00,V,N*56
20181930-20:19:30:984567639 $GNZDA,042721.00,31,01,2018,00,00*72
20181930-20:19:31:528996702 $GNRMC,042722.00,V,,,,,,,310118,,,N*68
20181930-20:19:31:533740087 $GNVTG,,,,,,,,,N*2E
20181930-20:19:31:635040504 $GNGGA,042722.00,,,,,0,00,99.99,,,,,,*79
20181930-20:19:31:640611337 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:31:645564045 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:31:738275504 $GPGSV,1,1,04,02,,,24,05,,,26,26,,,20,29,,,32*74
20181930-20:19:31:742944097 $GLGSV,1,1,01,82,,,38*65
20181930-20:19:31:747863837 $GNGLL,,,,,042722.00,V,N*55
20181930-20:19:31:984549097 $GNZDA,042722.00,31,01,2018,00,00*71
20181930-20:19:32:533709826 $GNRMC,042723.00,V,,,,,,,310118,,,N*69
20181930-20:19:32:538440920 $GNVTG,,,,,,,,,N*2E
20181930-20:19:32:637778941 $GNGGA,042723.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:32:642819514 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:32:647935243 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:32:741911285 $GPGSV,1,1,04,02,,,24,05,,,31,26,,,20,29,,,37*77
20181930-20:19:32:746795712 $GLGSV,1,1,02,82,,,41,,,,34*6F
20181930-20:19:32:994567118 $GNGLL,,,,,042723.00,V,N*54
20181930-20:19:32:999150399 $GNZDA,042723.00,31,01,2018,00,00*70
20181930-20:19:33:519289253 $GNRMC,042724.00,V,,,,,,,310118,,,N*6E
20181930-20:19:33:524503732 $GNVTG,,,,,,,,,N*2E
20181930-20:19:33:623278315 $GNGGA,042724.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:33:628475451 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:33:633670868 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:33:728766909 $GPGSV,1,1,04,02,,,24,05,,,37,26,,,30,29,,,36*71
20181930-20:19:33:733971649 $GLGSV,1,1,03,82,,,41,,,,40,,,,27*68
20181930-20:19:33:984592847 $GNGLL,,,,,042724.00,V,N*53
20181930-20:19:33:989157222 $GNZDA,042724.00,31,01,2018,00,00*77
20181930-20:19:34:537804721 $GNRMC,042725.00,V,,,,,,,310118,,,N*6F
20181930-20:19:34:542505086 $GNVTG,,,,,,,,,N*2E
20181930-20:19:34:643232482 $GNGGA,042725.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:34:648258107 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:34:653201075 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:34:747326075 $GPGSV,1,1,04,02,,,24,05,,,30,26,,,29,29,,,35*7D
20181930-20:19:34:752188523 $GLGSV,1,1,03,82,,,41,,,,42,,,,27*6A
20181930-20:19:35:004547065 $GNGLL,,,,,042725.00,V,N*52
20181930-20:19:35:009197429 $GNZDA,042725.00,31,01,2018,00,00*76
20181930-20:19:35:533860138 $GNRMC,042726.00,V,,,,,,,310118,,,N*6C
20181930-20:19:35:538626440 $GNVTG,,,,,,,,,N*2E
20181930-20:19:35:637802846 $GNGGA,042726.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:35:642764565 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:35:647661700 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:35:742042169 $GPGSV,1,1,04,02,,,23,05,,,21,26,,,29,29,,,34*7B
20181930-20:19:35:746965919 $GLGSV,1,1,03,82,,,39,,,,42,,,,28*6A
20181930-20:19:35:994606700 $GNGLL,,,,,042726.00,V,N*51
20181930-20:19:35:999181908 $GNZDA,042726.00,31,01,2018,00,00*75
20181930-20:19:36:533519929 $GNRMC,042727.00,V,,,,,,,310118,,,N*6D
20181930-20:19:36:538130762 $GNVTG,,,,,,,,,N*2E
20181930-20:19:36:637592377 $GNGGA,042727.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:36:642481856 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:36:647364148 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:36:742081700 $GPGSV,1,1,04,02,,,24,05,,,30,26,,,29,29,,,34*7C
20181930-20:19:36:747173366 $GLGSV,1,1,03,82,,,42,,,,42,,,,28*66
20181930-20:19:36:994626804 $GNGLL,,,,,042727.00,V,N*50
20181930-20:19:36:999491283 $GNZDA,042727.00,31,01,2018,00,00*74
20181930-20:19:37:533541908 $GNRMC,042728.00,V,,,,,,,310118,,,N*62
20181930-20:19:37:538468783 $GNVTG,,,,,,,,,N*2E
20181930-20:19:37:637414303 $GNGGA,042728.00,,,,,0,00,99.99,,,,,,*73
20181930-20:19:37:642478262 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:37:647201856 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:37:741630814 $GPGSV,1,1,04,02,,,26,05,,,34,26,,,30,29,,,34*72
20181930-20:19:37:746485814 $GLGSV,1,1,03,82,,,41,,,,40,,,,24*6B
20181930-20:19:37:994422793 $GNGLL,,,,,042728.00,V,N*5F
20181930-20:19:37:998982480 $GNZDA,042728.00,31,01,2018,00,00*7B
20181930-20:19:38:516888209 $GNRMC,042729.00,V,,,,,,,310118,,,N*63
20181930-20:19:38:521775189 $GNVTG,,,,,,,,,N*2E
20181930-20:19:38:621034043 $GNGGA,042729.00,,,,,0,00,99.99,,,,,,*72
20181930-20:19:38:625912897 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:38:630699980 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:38:725208886 $GPGSV,1,1,04,02,,,22,05,,,34,26,,,30,29,,,34*76
20181930-20:19:38:730182845 $GLGSV,1,1,03,82,,,40,,,,38,,,,23*62
20181930-20:19:38:984647636 $GNGLL,,,,,042729.00,V,N*5E
20181930-20:19:38:989248938 $GNZDA,042729.00,31,01,2018,00,00*7A
20181930-20:19:39:530498886 $GNRMC,042730.00,V,,,,,,,310118,,,N*6B
20181930-20:19:39:535249199 $GNVTG,,,,,,,,,N*2E
20181930-20:19:39:634605292 $GNGGA,042730.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:39:639756230 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:39:644799511 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:39:738663782 $GPGSV,2,1,05,02,,,21,05,,,29,13,,,33,26,,,31*74
20181930-20:19:39:743433886 $GPGSV,2,2,05,29,,,34*70
20181930-20:19:40:024401438 $GLGSV,1,1,03,82,,,40,,,,40,,,,21*6F
20181930-20:19:40:029056073 $GNGLL,,,,,042730.00,V,N*56
20181930-20:19:40:033814719 $GNZDA,042730.00,31,01,2018,00,00*72
20181930-20:19:40:465459511 $GNRMC,042731.00,V,,,,,,,310118,,,N*6A
20181930-20:19:40:470063365 $GNVTG,,,,,,,,,N*2E
20181930-20:19:40:570006021 $GNGGA,042731.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:40:575978834 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:40:581192844 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:40:673750344 $GPGSV,2,1,05,02,,,19,05,,,29,13,,,33,26,,,31*7F
20181930-20:19:40:678611281 $GPGSV,2,2,05,29,,,34*70
20181930-20:19:40:954450552 $GLGSV,1,1,03,82,,,40,,,,40,,,,22*6C
20181930-20:19:40:958944511 $GNGLL,,,,,042731.00,V,N*57
20181930-20:19:40:963866177 $GNZDA,042731.00,31,01,2018,00,00*73
20181930-20:19:41:534295396 $GNRMC,042732.00,V,,,,,,,310118,,,N*69
20181930-20:19:41:538940031 $GNVTG,,,,,,,,,N*2E
20181930-20:19:41:638427062 $GNGGA,042732.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:41:643922271 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:41:649277010 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
