20181726-14:17:37:283714881 $GPGSV,2,1,08,02,46,122,31,05,81,086,39,06,,,36,12,38,331,40*47
20181726-14:17:37:288743163 $GPGSV,2,2,08,13,13,033,38,15,,,32,19,,,31,20,,,24*41
20181726-14:17:37:387676861 $GLGSV,1,1,01,,,,41*61
20181726-14:17:37:392579100 $GNGLL,3651.98659,S,17443.43541,E,033301.01,A,A*61
20181726-14:17:37:595303683 $GNZDA,033301.01,26,01,2018,00,00*75
20181726-14:17:37:821965975 $GNRMC,033302.00,A,3651.99106,S,17443.43122,E,0.038,,260118,,,A*70
20181726-14:17:37:926202746 $GNVTG,,T,,M,0.038,N,0.070,K,A*31
20181726-14:17:37:931848319 $GNGGA,033302.00,3651.99106,S,17443.43122,E,1,04,2.17,15.9,M,28.1,M,,*6D
20181726-14:17:38:030342694 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:38:035565767 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:38:134584204 $GPGSV,2,1,08,02,46,122,35,05,81,086,38,06,,,36,12,38,331,40*42
20181726-14:17:38:139838058 $GPGSV,2,2,08,13,13,033,40,15,,,32,19,,,33,20,,,24*4C
20181726-14:17:38:238473267 $GLGSV,1,1,01,,,,41*61
20181726-14:17:38:243455558 $GNGLL,3651.99106,S,17443.43122,E,033302.00,A,A*6E
20181726-14:17:38:445044829 $GNZDA,033302.00,26,01,2018,00,00*77
20181726-14:17:38:822169412 $GNRMC,033303.00,A,3651.99082,S,17443.43110,E,0.035,,260118,,,A*70
20181726-14:17:38:926568787 $GNVTG,,T,,M,0.035,N,0.065,K,A*38
20181726-14:17:38:932653423 $GNGGA,033303.00,3651.99082,S,17443.43110,E,1,04,2.17,15.9,M,28.1,M,,*60
20181726-14:17:39:030069412 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:39:035276339 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:39:134111547 $GPGSV,2,1,08,02,46,122,34,05,81,086,37,06,,,36,12,38,331,40*4C
