20181930-20:19:17:400187957 $GPGSV,2,1,05,02,,,41,05,,,44,12,,,39,19,,,30*7F
20181930-20:19:17:405079051 $GPGSV,2,2,05,29,,,33*77
20181930-20:19:17:682761342 $GLGSV,1,1,03,,,,38,,,,39,,,,36*62
20181930-20:19:17:688076238 $GNGLL,,,,,022739.00,V,N*59
20181930-20:19:17:693894728 $GNZDA,022739.00,31,01,2018,00,00*7D
20181930-20:19:18:246726186 $GNRMC,022740.00,V,,,,,,,310118,,,N*6A
20181930-20:19:18:251436446 $GNVTG,,,,,,,,,N*2E
20181930-20:19:18:350802957 $GNGGA,022740.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:18:355488946 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:360572540 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:454916550 $GPGSV,2,1,06,02,,,39,05,,,44,06,,,32,12,,,35*73
20181930-20:19:18:460120092 $GPGSV,2,2,06,19,,,30,29,,,34*78
20181930-20:19:18:752462384 $GLGSV,1,1,03,66,,,40,67,,,42,82,,,35*69
20181930-20:19:18:757014571 $GNGLL,,,,,022740.00,V,N*57
20181930-20:19:18:761818373 $GNZDA,022740.00,31,01,2018,00,00*73
20181930-20:19:19:252697383 $GNRMC,022741.00,V,,,,,,,310118,,,N*6B
20181930-20:19:19:257643894 $GNVTG,,,,,,,,,N*2E
20181930-20:19:19:357115613 $GNGGA,022741.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:19:362325613 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:367466810 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:461004623 $GPGSV,2,1,07,02,,,39,05,,,43,06,,,36,12,,,35*71
20181930-20:19:19:465965040 $GPGSV,2,2,07,19,,,30,20,,,30,29,,,33*7F
20181930-20:19:19:581272227 $GLGSV,1,1,03,66,,,40,67,,,39,82,,,35*65
20181930-20:19:19:586297383 $GNGLL,,,,,022741.00,V,N*56
20181930-20:19:19:591442383 $GNZDA,022741.00,31,01,2018,00,00*72
