20184526-13:45:28:082543525 $GNRMC,024036.00,V,,,,,,,260118,,,N*6C
20184526-13:45:28:087276442 $GNVTG,,,,,,,,,N*2E
20184526-13:45:28:186746650 $GNGGA,024036.00,,,,,0,00,99.99,,,,,,*7B
20184526-13:45:28:191905244 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:28:197068004 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:28:290663473 $GPGSV,2,1,06,02,,,37,05,,,28,06,,,39,19,,,38*7A
20184526-13:45:28:295366910 $GPGSV,2,2,06,20,,,39,29,,,31*7E
20184526-13:45:28:396198942 $GLGSV,2,1,05,,,,26,,,,31,,,,38,,,,33*6E
20184526-13:45:28:401997692 $GLGSV,2,2,05,,,,26*64
20184526-13:45:28:407722692 $GNGLL,,,,,024036.00,V,N*57
20184526-13:45:28:732342327 $GNZDA,024036.00,26,01,2018,00,00*75
20184526-13:45:29:094771858 $GNRMC,024037.00,V,,,,,,,260118,,,N*6D
20184526-13:45:29:099605921 $GNVTG,,,,,,,,,N*2E
20184526-13:45:29:198818681 $GNGGA,024037.00,,,,,0,00,99.99,,,,,,*7A
20184526-13:45:29:203478993 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:29:208242171 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:29:302976493 $GPGSV,2,1,06,02,,,37,05,,,36,06,,,39,19,,,36*7B
20184526-13:45:29:307706181 $GPGSV,2,2,06,20,,,37,29,,,32*73
20184526-13:45:29:407664566 $GLGSV,2,1,05,,,,26,,,,31,,,,32,,,,34*63
20184526-13:45:29:413163837 $GLGSV,2,2,05,,,,26*64
20184526-13:45:29:418014879 $GNGLL,,,,,024037.00,V,N*56
20184526-13:45:29:622245295 $GNZDA,024037.00,26,01,2018,00,00*74
20184526-13:45:30:080587743 $GNRMC,024038.00,V,,,,,,,260118,,,N*62
20184526-13:45:30:085908472 $GNVTG,,,,,,,,,N*2E
20184526-13:45:30:184332847 $GNGGA,024038.00,,,,,0,00,99.99,,,,,,*75
20184526-13:45:30:189888368 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:30:195032170 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:30:288216701 $GPGSV,2,1,06,02,,,37,05,,,35,06,,,35,19,,,36*74
20184526-13:45:30:293394097 $GPGSV,2,2,06,20,,,36,29,,,28*79
20184526-13:45:30:392637066 $GLGSV,2,1,05,,,,26,,,,29,,,,37,,,,31*6A
20184526-13:45:30:397332014 $GLGSV,2,2,05,,,,26*64
20184526-13:45:30:402162691 $GNGLL,,,,,024038.00,V,N*59
20184526-13:45:30:602202743 $GNZDA,024038.00,26,01,2018,00,00*7B
20184526-13:45:31:095084201 $GNRMC,024039.00,V,,,,,,,260118,,,N*63
20184526-13:45:31:099911961 $GNVTG,,,,,,,,,N*2E
20184526-13:45:31:199044930 $GNGGA,024039.00,,,,,0,00,99.99,,,,,,*74
